first_train_station_nm,last_train_station_nm,shana,hodesh,rishui_all,rishui_only,bitzua_only,last_update
אשקלון,שדרות,2015,9,1,1,0,2025-05-26 14:30:00
אשקלון,שדרות,2020,9,2,2,0,2025-05-26 14:30:00
באר שבע מרכז,שדרות,2018,4,2,2,0,2025-05-26 14:30:00
באר שבע מרכז,שדרות,2018,8,1,1,0,2025-05-26 14:30:00
באר שבע מרכז,שדרות,2024,3,32,0,162,2025-05-26 14:30:00
באר שבע מרכז,שדרות,2024,4,452,73,28,2025-05-26 14:30:00
באר שבע מרכז,שדרות,2024,5,463,0,0,2025-05-26 14:30:00
באר שבע מרכז,שדרות,2024,6,437,36,14,2025-05-26 14:30:00
באר שבע מרכז,שדרות,2024,7,467,3,0,2025-05-26 14:30:00
באר שבע מרכז,שדרות,2024,8,441,1,0,2025-05-26 14:30:00
באר שבע מרכז,שדרות,2024,9,385,2,70,2025-05-26 14:30:00
באר שבע מרכז,שדרות,2024,10,474,93,1,2025-05-26 14:30:00
באר שבע מרכז,שדרות,2024,11,310,0,0,2025-05-26 14:30:00
באר שבע מרכז,שדרות,2024,12,346,1,0,2025-05-26 14:30:00
באר שבע מרכז,שדרות,2025,1,290,20,62,2025-05-26 14:30:00
באר שבע מרכז,שדרות,2025,2,20,0,0,2025-05-26 14:30:00
באר שבע מרכז,שדרות,2025,3,27,0,0,2025-05-26 14:30:00
הוד השרון,שדרות,2015,1,512,0,0,2025-05-26 14:30:00
הוד השרון,שדרות,2015,2,240,0,0,2025-05-26 14:30:00
הוד השרון,שדרות,2015,3,1,0,0,2025-05-26 14:30:00
הוד השרון,שדרות,2015,8,2,0,0,2025-05-26 14:30:00
הוד השרון,שדרות,2015,9,1,0,0,2025-05-26 14:30:00
הוד השרון,שדרות,2015,11,1,0,0,2025-05-26 14:30:00
הוד השרון,שדרות,2015,12,1,0,0,2025-05-26 14:30:00
הוד השרון,שדרות,2017,2,1,0,0,2025-05-26 14:30:00
הוד השרון,שדרות,2017,9,1,1,0,2025-05-26 14:30:00
הוד השרון,שדרות,2018,2,0,0,1,2025-05-26 14:30:00
הוד השרון,שדרות,2018,4,1,1,0,2025-05-26 14:30:00
לוד,שדרות,2023,5,0,0,1,2025-05-26 14:30:00
נתיבות,שדרות,2015,2,0,0,2,2025-05-26 14:30:00
נתיבות,שדרות,2025,2,2,0,0,2025-05-26 14:30:00
ראש העין צפון,שדרות,2020,6,1,1,0,2025-05-26 14:30:00
רעננה מערב,שדרות,2018,8,1,0,0,2025-05-26 14:30:00
רעננה מערב,שדרות,2018,9,2,2,0,2025-05-26 14:30:00
רעננה מערב,שדרות,2018,10,1,1,0,2025-05-26 14:30:00
רעננה מערב,שדרות,2018,11,1,0,0,2025-05-26 14:30:00
שדרות,אשקלון,2017,9,1,1,0,2025-05-26 14:30:00
שדרות,אשקלון,2021,7,0,0,1,2025-05-26 14:30:00
שדרות,באר שבע מרכז,2018,8,1,1,0,2025-05-26 14:30:00
שדרות,באר שבע מרכז,2024,3,31,0,162,2025-05-26 14:30:00
שדרות,באר שבע מרכז,2024,4,448,73,26,2025-05-26 14:30:00
שדרות,באר שבע מרכז,2024,5,459,0,0,2025-05-26 14:30:00
שדרות,באר שבע מרכז,2024,6,432,36,13,2025-05-26 14:30:00
שדרות,באר שבע מרכז,2024,7,466,4,0,2025-05-26 14:30:00
שדרות,באר שבע מרכז,2024,8,443,2,0,2025-05-26 14:30:00
שדרות,באר שבע מרכז,2024,9,381,2,69,2025-05-26 14:30:00
שדרות,באר שבע מרכז,2024,10,462,93,3,2025-05-26 14:30:00
שדרות,באר שבע מרכז,2024,11,310,0,0,2025-05-26 14:30:00
שדרות,באר שבע מרכז,2024,12,368,2,0,2025-05-26 14:30:00
שדרות,באר שבע מרכז,2025,1,309,21,66,2025-05-26 14:30:00
שדרות,באר שבע מרכז,2025,2,20,0,0,2025-05-26 14:30:00
שדרות,באר שבע מרכז,2025,3,21,0,6,2025-05-26 14:30:00
שדרות,באר שבע צפון,2017,11,0,0,1,2025-05-26 14:30:00
